u,e,t,l,f,o
STILL,12.0,light-theme,largeCards,small-font,Y
STILL,14.0,light-theme,largeCards,small-font,Y
STILL,142.0,dark-theme,xLargeCards,large-font,N
STILL,163.0,dark-theme,xLargeCards,large-font,N
STILL,160.0,light-theme,largeCards,large-font,Y
STILL,115.0,dark-theme,largeCards,large-font,N
STILL,53.0,dark-theme,largeCards,small-font,Y
STILL,178.0,dark-theme,largeCards,small-font,Y
STILL,149.0,light-theme,largeCards,large-font,N
STILL,195.0,dark-theme,largeCards,large-font,N
STILL,194.0,dark-theme,largeCards,large-font,N
STILL,174.0,dark-theme,xLargeCards,large-font,N
STILL,174.0,dark-theme,xLargeCards,large-font,N
STILL,186.0,dark-theme,largeCards,large-font,N
ON_FOOT,23.0,dark-theme,largeCards,large-font,N
STILL,148.0,light-theme,largeCards,small-font,N
STILL,85.0,light-theme,largeCards,small-font,N
STILL,87.0,light-theme,largeCards,small-font,N
STILL,234.0,dark-theme,largeCards,small-font,N
STILL,229.0,light-theme,largeCards,small-font,N
STILL,25.0,light-theme,largeCards,large-font,Y
STILL,157.0,light-theme,largeCards,small-font,N
STILL,155.0,light-theme,largeCards,small-font,N
STILL,102.0,light-theme,largeCards,small-font,Y
STILL,102.0,light-theme,largeCards,small-font,Y
STILL,15.0,light-theme,largeCards,large-font,N
STILL,16.0,dark-theme,largeCards,large-font,N
STILL,15.0,dark-theme,largeCards,small-font,N
STILL,15.0,dark-theme,largeCards,large-font,N
STILL,13.0,dark-theme,largeCards,large-font,Y
STILL,13.0,dark-theme,largeCards,large-font,N
STILL,15.0,light-theme,xLargeCards,small-font,Y
ON_FOOT,44.0,dark-theme,xLargeCards,large-font,Y
STILL,16.0,dark-theme,largeCards,small-font,N
STILL,84.0,dark-theme,largeCards,large-font,Y
STILL,2.0,light-theme,largeCards,large-font,Y
STILL,2.0,light-theme,largeCards,large-font,Y
STILL,21.0,light-theme,xLargeCards,large-font,Y
